,year,month,region,count
524,2013,5,STATEN ISLAND,2
525,2013,3,BRONX,4
526,2013,3,QUEENS,8
527,2013,3,MANHATTAN,4
528,2013,3,BROOKLYN,7
529,2013,3,STATEN ISLAND,1
530,2013,1,BRONX,14
531,2013,1,QUEENS,14
532,2013,1,MANHATTAN,15
533,2013,1,BROOKLYN,29
534,2013,1,STATEN ISLAND,5
535,2013,2,BRONX,6
536,2013,2,QUEENS,0
537,2013,2,MANHATTAN,2
538,2013,2,BROOKLYN,5
539,2013,2,STATEN ISLAND,0
540,2011,12,BRONX,3
541,2011,12,QUEENS,5
542,2011,12,MANHATTAN,1
543,2011,12,BROOKLYN,5
544,2011,12,STATEN ISLAND,1
545,2011,4,BRONX,2
546,2011,4,QUEENS,4
547,2011,4,MANHATTAN,1
548,2011,4,BROOKLYN,3
549,2011,4,STATEN ISLAND,1
550,2011,6,BRONX,3
551,2011,6,QUEENS,6
552,2011,6,MANHATTAN,5
553,2011,6,BROOKLYN,6
554,2011,6,STATEN ISLAND,0
555,2011,11,BRONX,1
556,2011,11,QUEENS,4
557,2011,11,MANHATTAN,3
558,2011,11,BROOKLYN,5
559,2011,11,STATEN ISLAND,2
560,2011,10,BRONX,0
561,2011,10,QUEENS,0
562,2011,10,MANHATTAN,3
563,2011,10,BROOKLYN,3
564,2011,10,STATEN ISLAND,1
565,2011,9,BRONX,5
566,2011,9,QUEENS,4
567,2011,9,MANHATTAN,2
568,2011,9,BROOKLYN,7
569,2011,9,STATEN ISLAND,2
570,2011,8,BRONX,2
571,2011,8,QUEENS,2
572,2011,8,MANHATTAN,2
573,2011,8,BROOKLYN,10
574,2011,8,STATEN ISLAND,1
575,2011,7,BRONX,1
576,2011,7,QUEENS,4
577,2011,7,MANHATTAN,5
578,2011,7,BROOKLYN,7
579,2011,7,STATEN ISLAND,0
580,2011,5,BRONX,2
581,2011,5,QUEENS,0
582,2011,5,MANHATTAN,3
583,2011,5,BROOKLYN,6
584,2011,5,STATEN ISLAND,1
585,2011,3,BRONX,1
586,2011,3,QUEENS,1
587,2011,3,MANHATTAN,5
588,2011,3,BROOKLYN,4
589,2011,3,STATEN ISLAND,1
590,2011,1,BRONX,10
591,2011,1,QUEENS,18
592,2011,1,MANHATTAN,9
593,2011,1,BROOKLYN,20
594,2011,1,STATEN ISLAND,6
595,2011,2,BRONX,1
596,2011,2,QUEENS,2
597,2011,2,MANHATTAN,1
598,2011,2,BROOKLYN,5
599,2011,2,STATEN ISLAND,0
600,2009,12,BRONX,1
601,2009,12,QUEENS,3
602,2009,12,MANHATTAN,0
603,2009,12,BROOKLYN,4
604,2009,12,STATEN ISLAND,0
605,2009,4,BRONX,3
606,2009,4,QUEENS,1
607,2009,4,MANHATTAN,1
608,2009,4,BROOKLYN,1
609,2009,4,STATEN ISLAND,0
610,2009,6,BRONX,2
611,2009,6,QUEENS,2
612,2009,6,MANHATTAN,2
613,2009,6,BROOKLYN,5
614,2009,6,STATEN ISLAND,2
615,2009,11,BRONX,1
616,2009,11,QUEENS,4
617,2009,11,MANHATTAN,3
618,2009,11,BROOKLYN,3
619,2009,11,STATEN ISLAND,0
620,2009,10,BRONX,1
621,2009,10,QUEENS,1
622,2009,10,MANHATTAN,2
623,2009,10,BROOKLYN,2
624,2009,10,STATEN ISLAND,1
625,2009,9,BRONX,1
626,2009,9,QUEENS,2
627,2009,9,MANHATTAN,1
628,2009,9,BROOKLYN,2
629,2009,9,STATEN ISLAND,0
630,2009,8,BRONX,2
