New York State and Labor Market Regions and Metropolitan Areas
Counties and Municipalities of at Least 25000 Population
Data Source: Local Area Unemployment Statistics Program
New York County 
(Data are not seasonally adjusted. Data are preliminary and subject to revision.) 
UNEMPLOYMENT RATE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2008,926300,927800,926700,924900,923400,927300,937100,935500,934800,939300,937900,938000,931600,
2007,915000,916500,914700,909800,909700,916000,926100,916700,917700,921400,923200,923900,917600,
2006,904700,910200,908400,906600,903800,907200,915300,910200,906300,911000,912300,913300,909100,
2005,895700,900400,896300,898000,896100,898000,908800,906000,907600,910000,909500,906300,902700,
2004,867300,868200,876800,875000,876700,885800,896600,892500,888100,894200,893100,892400,883900,
2003,876000,876900,871000,866600,861300,867400,868300,864200,862600,865700,866200,861500,867300,
2002,865900,873900,873200,869900,866500,868300,874400,870400,870000,875200,873000,872500,871100,
2001,867000,870500,870700,861400,857800,860900,872900,869800,869400,865500,866000,867800,866600,
2000,848500,854000,856300,853500,851100,853800,858800,855800,853700,859000,859000,860800,855400,

1999,860500,864700,860800,857200,856100,864800,875300,869900,867500,871800,870800,870700,865800,
1998,842700,848700,849300,838000,842700,848000,857300,853400,853200,858900,859000,860100,850900,
1997,823900,826800,833100,828700,828900,835700,845700,842900,840600,842300,841000,842400,836000,
1996,786300,794100,799000,791900,798500,801600,814400,808500,808600,815700,818400,820900,804800,
1995,773500,776200,777800,776900,773700,778500,790300,786800,782600,785500,783200,783300,780700,
1994,780400,781100,777500,772600,769000,770300,779800,777100,769700,775300,772600,768900,774500,
1993,774300,776700,768600,758300,759400,765900,778700,774800,764700,773400,773000,774400,770200,
1992,765200,767400,764500,758700,759600,769000,779600,774000,767700,766700,767700,771300,767600,
1991,766600,768000,767000,762100,760500,764000,767800,763200,758400,762200,763100,761700,763700,
1990,784400,784000,780300,773400,775900,776500,786300,782400,778900,780200,777100,776000,779600,
EMPLOYED
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2019,874700,881900,886600,883600,876900,876100,877000,874200,,,,,,
2018,877300,888700,889000,885900,885000,883700,889300,879700,883500,888500,887200,886400,885400,
2017,877000,885700,888700,886100,883000,882600,886300,879600,885900,884600,882300,880800,883600,
2016,871100,878600,879600,875600,872900,871900,876500,872700,874900,876300,875700,874500,875000,
2015,856900,862800,864200,864500,865800,864500,868500,865600,864600,869700,869000,870700,865600,
2014,834600,842100,845900,845200,846100,848000,852800,850600,853100,859900,858300,858400,849600,
2013,823800,829200,832200,835300,835900,835900,842300,838500,840800,840100,844300,844600,836900,
2012,810600,817400,820700,820900,823400,822200,823400,821500,827900,831900,828700,829000,823100,
2011,803900,809400,813700,814600,813100,809200,814100,815100,815500,817200,817000,816600,813300,
2010,796900,802200,804500,811200,807900,805300,808000,807700,807400,806700,804200,804800,805600,
2009,864400,863300,858900,858200,851500,851200,859300,854300,845300,844400,844800,839900,853000,
2008,881100,884100,886400,888500,883600,885800,891800,888400,886600,888600,885300,880000,885900,
2007,872200,876300,879000,874300,872200,875300,881000,876600,877600,880800,884600,882800,877700,
2006,860900,864800,867300,866400,865400,868200,873000,871900,869900,876100,876500,878900,869900,
2005,846500,850500,852700,855300,853800,854800,862800,863300,859100,862800,860900,862600,857100,
2004,802400,806800,814500,820800,823200,828800,840900,841000,837800,843400,844800,845600,829200,
2003,803100,806500,805400,804100,799400,799700,802800,800200,797600,801700,802400,802400,802100,
2002,797000,805600,804900,804300,803800,803600,808600,807800,807000,807700,803600,803400,804800,
2001,823400,826700,828100,822800,818500,817900,826900,819100,816100,806100,804300,804200,817800,
2000,801000,807100,809700,812400,809100,812600,815300,812500,812500,816300,816900,821400,812200,

1999,803800,808300,810600,808400,808200,812000,821300,820700,816600,822200,824700,828200,815400,
1998,778500,784800,788100,788300,787700,790500,800300,799200,797200,800700,803200,806300,793700,
1997,753100,758400,764200,763700,764100,767000,777900,777700,774600,778700,781100,783000,770300,
1996,729100,737000,740100,738800,739500,743200,751400,750600,748700,754300,754500,755300,745200,
1995,718600,724100,725700,723800,721100,723600,732800,730600,726800,730700,730600,729800,726500,
1994,707100,712400,713200,712600,712600,713000,719700,719400,715000,720100,721100,721400,715600,
1993,690400,695700,697800,695800,696000,699700,710000,707800,700900,703300,703900,705100,700500,
1992,692800,694100,696200,695300,692000,694600,703000,700100,693500,694000,693400,694000,695200,
1991,709200,710700,710900,708900,702900,705600,709500,705100,701400,702500,700000,696800,705300,
1990,733000,735300,736700,733400,733700,735800,740500,737500,730200,729500,726000,724400,733000,
UNEMPLOYED
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2019,39900,37300,34300,30300,34400,34900,35700,34400,,,,,,
2018,37600,38300,35700,31900,29900,34600,35100,34300,31400,32700,30700,32700,33800,
2017,41600,41200,36800,34700,36300,37400,41100,41800,38000,36300,33800,33300,37700,
2016,44400,44200,43200,38800,36700,41300,45000,45100,44100,43400,38300,36800,41800,
2015,53000,50700,46300,44000,45200,43600,45000,42500,39300,40900,40800,40400,44300,
2014,63100,64000,61300,52500,55700,55600,58500,56300,50700,50800,50000,46600,55400,
2013,77200,72600,66500,62500,66400,70900,71500,69700,67300,68900,62800,59100,68000,
2012,77000,78300,74000,67500,71500,75100,75700,72400,67500,70000,64700,68600,71900,
2011,71700,70200,65200,62600,64500,68200,69200,69800,70300,72600,71100,71700,68900,
2010,86300,84600,81400,76800,74000,73700,76000,73600,71900,71400,71300,66900,75600,
2009,67700,74400,74700,69900,77800,81600,85200,84000,83300,85300,80300,79500,78600,
